ID-dok;ID-præst;dato;helligdag;sogn str.;stift;årgang;køn;uddannelsessted
pr250_2;2;111211;3Adv_L;948/1266;København;1982;1;Aarhus
pr251_2;2;151213;3Adv_L;948/1266;København;1982;1;Aarhus
pr252_2;2;131215;3Adv_L;948/1266;København;1982;1;Aarhus
pr253_2;2;130303;3Fas_U;948/1266;København;1982;1;Aarhus
pr254_2;2;150308;3Fas_U;948/1266;København;1982;1;Aarhus
pr255_2;2;170319;3Fas_U;948/1266;København;1982;1;Aarhus
pr256_2;2;110327;3Fas_U;948/1266;København;1982;1;Aarhus
pr257_2;2;120311;3Fas_L;948/1266;København;1982;1;Aarhus
pr258_2;2;140323;3Fas_L;948/1266;København;1982;1;Aarhus
pr259_2;2;140202;3Fas_L;948/1266;København;1982;1;Aarhus
pr260_2;2;110522;4Pås_U;948/1266;København;1982;1;Aarhus
pr261_2;2;110522;4Pås_U;948/1266;København;1982;1;Aarhus
pr262_2;2;130428;4Pås_U;948/1266;København;1982;1;Aarhus
pr263_2;2;120506;4Pås_L;948/1266;København;1982;1;Aarhus
pr264_2;2;120506;4Pås_L;948/1266;København;1982;1;Aarhus
pr265_2;2;160424;4Pås_L;948/1266;København;1982;1;Aarhus
pr266_2;2;110717;4Trin_U;948/1266;København;1982;1;Aarhus
pr267_2;2;120701;4Trin_L;948/1266;København;1982;1;Aarhus
pr268_2;2;140713;4Trin_L;948/1266;København;1982;1;Aarhus
pr269_2;2;160619;4Trin_L;948/1266;København;1982;1;Aarhus
pr270_2;2;141221;4Adv_U;948/1266;København;1982;1;Aarhus
pr271_2;2;121223;4Adv_U;948/1266;København;1982;1;Aarhus
pr272_2;2;131222;4Adv_L;948/1266;København;1982;1;Aarhus
pr273_2;2;110206;5Hel_U;948/1266;København;1982;1;Aarhus
pr274_2;2;130505;5Pås_U;948/1266;København;1982;1;Aarhus
pr275_2;2;130505;5Pås_U;948/1266;København;1982;1;Aarhus
pr276_2;2;150510;5Pås_U;948/1266;København;1982;1;Aarhus
pr277_2;2;110529;5Pås_U;948/1266;København;1982;1;Aarhus
pr278_2;2;160501;5Pås_L;948/1266;København;1982;1;Aarhus
pr279_2;2;120513;5Pås_L;948/1266;København;1982;1;Aarhus
pr280_2;2;140525;5Pås_L;948/1266;København;1982;1;Aarhus
pr281_2;2;150705;5Trin_U;948/1266;København;1982;1;Aarhus
pr282_2;2;110724;5Trin_U;948/1266;København;1982;1;Aarhus
pr283_2;2;130630;5Trin_U;948/1266;København;1982;1;Aarhus
pr284_2;2;120708;5Trin_L;948/1266;København;1982;1;Aarhus
pr285_2;2;140720;5Trin_L;948/1266;København;1982;1;Aarhus
pr286_2;2;160626;5Trin_L;948/1266;København;1982;1;Aarhus
pr287_2;2;110605;6Pås_U;948/1266;København;1982;1;Aarhus
pr288_2;2;130512;6Pås_U;948/1266;København;1982;1;Aarhus
pr289_2;2;140601;6Pås_L;948/1266;København;1982;1;Aarhus
pr290_2;2;120520;6Pås_L;948/1266;København;1982;1;Aarhus
pr291_2;2;130707;6Trin_U;948/1266;København;1982;1;Aarhus
pr292_2;2;150712;6Trin_U;948/1266;København;1982;1;Aarhus
pr293_2;2;160703;6Trin_L;948/1266;København;1982;1;Aarhus
pr294_2;2;120715;6Trin_L;948/1266;København;1982;1;Aarhus
pr295_2;2;110807;7Trin_U;948/1266;København;1982;1;Aarhus
pr296_2;2;130714;7Trin_U;948/1266;København;1982;1;Aarhus
pr297_2;2;150719;7Trin_U;948/1266;København;1982;1;Aarhus
pr298_2;2;160710;7Trin_L;948/1266;København;1982;1;Aarhus
pr299_2;2;120722;7Trin_L;948/1266;København;1982;1;Aarhus
pr300_2;2;150726;8Trin_U;948/1266;København;1982;1;Aarhus
pr301_2;2;140810;8Trin_L;948/1266;København;1982;1;Aarhus
pr302_2;2;160717;8Trin_L;948/1266;København;1982;1;Aarhus
pr303_2;2;120729;8Trin_L;948/1266;København;1982;1;Aarhus
pr304_2;2;120805;9Trin_L;948/1266;København;1982;1;Aarhus
pr305_2;2;110821;9Trin_U;948/1266;København;1982;1;Aarhus
pr306_2;2;140817;9Trin_L;948/1266;København;1982;1;Aarhus
pr307_2;2;130804;10Trin_U;948/1266;København;1982;1;Aarhus
pr308_2;2;110828;10Trin_U;948/1266;København;1982;1;Aarhus
pr309_2;2;110904;11Trin_U;948/1266;København;1982;1;Aarhus
pr310_2;2;130811;11Trin_U;948/1266;København;1982;1;Aarhus
pr311_2;2;150816;11Trin_U;948/1266;København;1982;1;Aarhus
pr312_2;2;120819;11Trin_L;948/1266;København;1982;1;Aarhus
pr313_2;2;140831;11Trin_L;948/1266;København;1982;1;Aarhus
pr314_2;2;110911;12Trin_U;948/1266;København;1982;1;Aarhus
pr315_2;2;130818;12Trin_U;948/1266;København;1982;1;Aarhus
pr316_2;2;150823;12Trin_U;948/1266;København;1982;1;Aarhus
pr317_2;2;140907;12Trin_L;948/1266;København;1982;1;Aarhus
pr318_2;2;160814;12Trin_L;948/1266;København;1982;1;Aarhus
pr319_2;2;120826;12Trin_L;948/1266;København;1982;1;Aarhus
pr320_2;2;130823;13Trin_U;948/1266;København;1982;1;Aarhus
pr321_2;2;150830;13Trin_U;948/1266;København;1982;1;Aarhus
pr322_2;2;120909;14Trin_L;948/1266;København;1982;1;Aarhus
pr323_2;2;160828;14Trin_L;948/1266;København;1982;1;Aarhus
pr324_2;2;111002;15Trin_U;948/1266;København;1982;1;Aarhus
pr325_2;2;150913;15Trin_U;948/1266;København;1982;1;Aarhus
pr326_2;2;160904;15Trin_L;948/1266;København;1982;1;Aarhus
pr327_2;2;111009;16Trin_U;948/1266;København;1982;1;Aarhus
pr328_2;2;130915;16Trin_U;948/1266;København;1982;1;Aarhus
pr329_2;2;150920;16Trin_U;948/1266;København;1982;1;Aarhus
pr330_2;2;111013;17Trin_U\SÆR;948/1266;København;1982;1;Aarhus
pr331_2;2;111016;17Trin_U;948/1266;København;1982;1;Aarhus
pr332_2;2;130922;17Trin_U;948/1266;København;1982;1;Aarhus
pr333_2;2;150927;17Trin_U;948/1266;København;1982;1;Aarhus
pr334_2;2;141012;17Trin_L;948/1266;København;1982;1;Aarhus
pr335_2;2;160918;17Trin_L;948/1266;København;1982;1;Aarhus
pr336_2;2;111023;18Trin_U;948/1266;København;1982;1;Aarhus
pr337_2;2;121007;18Trin_L;948/1266;København;1982;1;Aarhus
pr338_2;2;141019;18Trin_L;948/1266;København;1982;1;Aarhus
pr339_2;2;131006;19Trin_U;948/1266;København;1982;1;Aarhus
pr340_2;2;151011;19Trin_U;948/1266;København;1982;1;Aarhus
pr341_2;2;121014;19Trin_L;948/1266;København;1982;1;Aarhus
pr342_2;2;141026;19Trin_L;948/1266;København;1982;1;Aarhus
pr343_2;2;131013;20Trin_U;948/1266;København;1982;1;Aarhus
pr344_2;2;151018;20Trin_U;948/1266;København;1982;1;Aarhus
pr345_2;2;121021;20Trin_L;948/1266;København;1982;1;Aarhus
pr346_2;2;131020;21Trin_U;948/1266;København;1982;1;Aarhus
pr347_2;2;151025;21Trin_U;948/1266;København;1982;1;Aarhus
pr348_2;2;141109;21Trin_L;948/1266;København;1982;1;Aarhus
pr349_2;2;161016;21Trin_L;948/1266;København;1982;1;Aarhus
pr350_2;2;131027;22Trin_U;948/1266;København;1982;1;Aarhus
pr351_2;2;161023;22Trin_L;948/1266;København;1982;1;Aarhus
pr352_2;2;151108;23Trin_U;948/1266;København;1982;1;Aarhus
pr353_2;2;161030;23Trin_L;948/1266;København;1982;1;Aarhus
pr354_2;2;151115;24Trin_U;948/1266;København;1982;1;Aarhus
pr355_2;2;121118;24Trin_L;948/1266;København;1982;1;Aarhus
pr356_2;2;161113;25Trin_L;948/1266;København;1982;1;Aarhus
